file,usable_nav,nav_decision_basis,has_lat,has_lon,has_latlon,lat_non_nan_count,lon_non_nan_count,has_sentence,n_time1,use_sentence_for_nav,error
L0390-D20170813-T092408-ES60.raw,True,latlon+sentence,True,True,True,5075,5075,True,5075,True,
L0390-D20170813-T095219-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170813-T102031-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0390-D20170813-T104843-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170813-T111655-ES60.raw,True,latlon+sentence,True,True,True,5082,5082,True,5082,True,
L0390-D20170813-T114509-ES60.raw,True,latlon+sentence,True,True,True,5079,5079,True,5079,True,
L0390-D20170813-T124134-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170813-T130947-ES60.raw,True,latlon+sentence,True,True,True,5085,5085,True,5085,True,
L0390-D20170813-T133801-ES60.raw,True,latlon+sentence,True,True,True,5196,5196,True,5196,True,
L0390-D20170813-T140654-ES60.raw,True,latlon+sentence,True,True,True,5133,5133,True,5133,True,
L0390-D20170813-T143525-ES60.raw,True,latlon+sentence,True,True,True,5124,5124,True,5124,True,
L0390-D20170813-T150352-ES60.raw,True,latlon+sentence,True,True,True,5859,5859,True,5859,True,
L0390-D20170813-T153625-ES60.raw,True,latlon+sentence,True,True,True,5604,5604,True,5604,True,
L0390-D20170813-T160734-ES60.raw,True,latlon+sentence,True,True,True,5199,5199,True,5199,True,
L0390-D20170813-T163627-ES60.raw,True,latlon+sentence,True,True,True,5085,5085,True,5085,True,
L0390-D20170813-T170441-ES60.raw,True,latlon+sentence,True,True,True,5097,5097,True,5097,True,
L0390-D20170813-T173300-ES60.raw,True,latlon+sentence,True,True,True,5184,5184,True,5184,True,
L0390-D20170813-T180149-ES60.raw,True,latlon+sentence,True,True,True,5082,5082,True,5082,True,
L0390-D20170813-T183002-ES60.raw,True,latlon+sentence,True,True,True,5082,5082,True,5082,True,
L0390-D20170813-T185817-ES60.raw,True,latlon+sentence,True,True,True,5088,5088,True,5088,True,
L0390-D20170813-T192633-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0390-D20170813-T195444-ES60.raw,True,latlon+sentence,True,True,True,5120,5120,True,5120,True,
L0390-D20170813-T202310-ES60.raw,True,latlon+sentence,True,True,True,5091,5091,True,5091,True,
L0390-D20170813-T205127-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0390-D20170813-T214751-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170813-T221603-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170813-T224414-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0390-D20170813-T231226-ES60.raw,True,latlon+sentence,True,True,True,5081,5081,True,5082,True,
L0390-D20170813-T234039-ES60.raw,True,latlon+sentence,True,True,True,5085,5085,True,5085,True,
L0390-D20170814-T000855-ES60.raw,True,latlon+sentence,True,True,True,5079,5079,True,5079,True,
L0390-D20170814-T003708-ES60.raw,True,latlon+sentence,True,True,True,5079,5079,True,5079,True,
L0390-D20170814-T010521-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170814-T013333-ES60.raw,True,latlon+sentence,True,True,True,5082,5082,True,5082,True,
L0390-D20170814-T020147-ES60.raw,True,latlon+sentence,True,True,True,5100,5100,True,5100,True,
