file,usable_nav,nav_decision_basis,has_lat,has_lon,has_latlon,lat_non_nan_count,lon_non_nan_count,has_sentence,n_time1,use_sentence_for_nav,error
L0034-D20170608-T024659-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170608-T033149-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170608-T041639-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170608-T050129-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170608-T054619-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170608-T063109-ES60.raw,True,latlon+sentence,True,True,True,2610,2610,True,2610,True,
L0035-D20170608-T065257-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0035-D20170608-T073747-ES60.raw,True,latlon+sentence,True,True,True,2760,2760,True,2760,True,
L0036-D20170608-T080048-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0036-D20170608-T084538-ES60.raw,True,latlon+sentence,True,True,True,5372,5372,True,5372,True,
L0037-D20170608-T093026-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0037-D20170608-T101516-ES60.raw,True,latlon+sentence,True,True,True,506,506,True,506,True,
L0038-D20170608-T101930-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0038-D20170608-T110420-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0038-D20170608-T114910-ES60.raw,True,latlon+sentence,True,True,True,2340,2340,True,2340,True,
L0039-D20170608-T120840-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0039-D20170608-T125330-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0039-D20170608-T133820-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0039-D20170608-T142310-ES60.raw,True,latlon+sentence,True,True,True,3014,3014,True,3014,True,
L0040-D20170608-T144819-ES60.raw,True,latlon+sentence,True,True,True,3648,3648,True,3648,True,
L0041-D20170608-T151844-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0041-D20170608-T160334-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0041-D20170608-T164824-ES60.raw,True,latlon+sentence,True,True,True,726,726,True,726,True,
L0042-D20170608-T165428-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0042-D20170608-T173917-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0042-D20170608-T182407-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0042-D20170608-T190857-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0042-D20170608-T195347-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0042-D20170608-T203838-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0042-D20170608-T212328-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0042-D20170608-T220818-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0042-D20170608-T225308-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0042-D20170608-T233758-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0042-D20170609-T002248-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0042-D20170609-T010738-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0042-D20170609-T015228-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0042-D20170609-T023718-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0042-D20170609-T032208-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0042-D20170609-T040658-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0042-D20170609-T045148-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0042-D20170609-T053638-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0042-D20170609-T062128-ES60.raw,True,latlon+sentence,True,True,True,4190,4190,True,4190,True,
L0043-D20170609-T065625-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0043-D20170609-T074114-ES60.raw,True,latlon+sentence,True,True,True,220,220,True,220,True,
L0044-D20170609-T074305-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0044-D20170609-T082755-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0044-D20170609-T091245-ES60.raw,True,latlon+sentence,True,True,True,3878,3878,True,3878,True,
L0045-D20170609-T094505-ES60.raw,True,latlon+sentence,True,True,True,5014,5014,True,5014,True,
L0046-D20170609-T102653-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0046-D20170609-T111142-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0046-D20170609-T115632-ES60.raw,True,latlon+sentence,True,True,True,1322,1322,True,1322,True,
L0047-D20170609-T120734-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0047-D20170609-T125224-ES60.raw,True,latlon+sentence,True,True,True,1042,1042,True,1042,True,
L0048-D20170609-T130106-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0048-D20170609-T134556-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0048-D20170609-T143046-ES60.raw,True,latlon+sentence,True,True,True,1640,1640,True,1640,True,
L0049-D20170609-T144428-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0049-D20170609-T152917-ES60.raw,True,latlon+sentence,True,True,True,1128,1128,True,1128,True,
L0050-D20170609-T153845-ES60.raw,True,latlon+sentence,True,True,True,5377,5377,True,5377,True,
L0050-D20170609-T162335-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0050-D20170609-T170825-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0050-D20170609-T175315-ES60.raw,True,latlon+sentence,True,True,True,450,450,True,450,True,
L0051-D20170609-T175701-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0051-D20170609-T184151-ES60.raw,True,latlon+sentence,True,True,True,242,242,True,242,True,
L0052-D20170609-T184354-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0052-D20170609-T192844-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0052-D20170609-T201334-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0052-D20170609-T205824-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0052-D20170609-T214314-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0052-D20170609-T222804-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0052-D20170609-T231254-ES60.raw,True,latlon+sentence,True,True,True,453,453,True,453,True,
L0052-D20170609-T235744-ES60.raw,True,latlon+sentence,True,True,True,2,2,True,2,True,
L0052-D20170610-T004234-ES60.raw,True,latlon+sentence,True,True,True,2,2,True,2,True,
L0052-D20170610-T012724-ES60.raw,True,latlon+sentence,True,True,True,2,2,True,2,True,
L0052-D20170610-T021214-ES60.raw,True,latlon+sentence,True,True,True,2,2,True,2,True,
L0052-D20170610-T025704-ES60.raw,True,latlon+sentence,True,True,True,2,2,True,2,True,
L0052-D20170610-T034154-ES60.raw,True,latlon+sentence,True,True,True,2,2,True,2,True,
L0052-D20170610-T042644-ES60.raw,True,latlon+sentence,True,True,True,2,2,True,2,True,
